,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Shintomi,75,JP,1571780795,88,32.08,32.08,64.4,4.18
1,Buin,87,CL,1571780796,14,-33.73,-33.73,80.6,14.0
2,Bluff,0,AU,1571780798,68,-23.58,-23.58,65.84,9.38
3,Saldanha,100,PT,1571780800,70,41.42,41.42,50.23,1.72
4,Mar del Plata,0,AR,1571780802,42,-46.43,-46.43,54.05,8.27
5,Butaritari,35,KI,1571780804,74,3.07,3.07,83.79,10.69
6,Rincon,75,PA,1571780806,94,8.46,8.46,78.8,5.79
7,Miri,59,NG,1571780807,58,10.31,10.31,78.57,2.8
8,Salinopolis,48,BR,1571780809,81,-0.61,-0.61,80.83,10.91
9,Rikitea,100,PF,1571780811,89,-23.12,-23.12,67.87,16.85
10,Churapcha,100,RU,1571780813,90,62.0,62.0,19.2,4.2
11,Birjand,8,IR,1571780814,33,32.86,32.86,46.4,4.99
12,Constitucion,40,MX,1571780816,47,23.99,23.99,80.6,5.79
13,Tuktoyaktuk,75,CA,1571780818,85,69.44,69.44,24.8,9.17
14,Arcachon,75,FR,1571780819,93,44.65,44.65,55.4,13.2
15,Mataura,95,NZ,1571780821,65,-46.19,-46.19,48.99,10.07
16,Porto Novo,40,BR,1571780823,68,-23.68,-23.68,71.6,9.17
17,Leningradskiy,99,RU,1571780825,84,69.38,69.38,22.75,11.8
18,Ancud,20,CL,1571780827,58,-41.87,-41.87,55.4,4.99
19,Collie,19,AU,1571780828,75,-33.36,-33.36,55.0,2.49
20,Ilulissat,75,GL,1571780831,44,69.22,69.22,21.2,4.18
21,Cape Town,40,ZA,1571780196,72,-33.93,-33.93,60.01,7.4
22,Bhainsa,38,IN,1571780834,33,26.95,26.95,75.2,2.41
23,Wanning,90,AT,1571780836,100,48.64,48.64,55.0,0.8
24,Port Alfred,100,ZA,1571780837,78,-33.59,-33.59,57.99,17.2
25,Atuona,19,PF,1571780839,74,-9.8,-9.8,78.89,9.48
26,Bredasdorp,71,ZA,1571780841,76,-34.53,-34.53,57.99,3.38
27,Linhares,100,BR,1571780843,90,-19.38,-19.38,75.65,5.38
28,Felanitx,75,ES,1571780845,93,39.47,39.47,66.2,13.2
29,Busselton,13,AU,1571780846,75,-33.64,-33.64,55.0,8.69
30,Chase,40,US,1571780848,22,38.35,38.35,66.2,14.97
31,Yellowknife,90,CA,1571780850,93,62.45,62.45,35.6,1.61
32,Soyo,42,AO,1571780852,89,-6.13,-6.13,77.9,4.09
33,Tevaitoa,0,PF,1571780853,72,-16.78,-16.78,79.68,3.07
34,Lorengau,100,PG,1571780855,72,-2.02,-2.02,84.92,7.56
35,Sekoma,46,BW,1571780857,12,-24.51,-24.51,79.7,7.93
36,Cabo San Lucas,5,MX,1571780629,69,22.89,22.89,86.0,9.17
37,Jamestown,0,AU,1571780860,29,-33.21,-33.21,64.17,5.21
38,Auki,15,NG,1571780862,41,12.18,12.18,82.27,4.83
39,Kapaa,40,US,1571780864,74,22.08,22.08,84.2,10.78
40,Sawakin,0,SD,1571780865,69,19.1,19.1,86.65,4.31
41,Kaeo,19,NZ,1571780867,91,-35.1,-35.1,60.01,18.89
42,Hermanus,100,ZA,1571780869,81,-34.42,-34.42,59.0,0.72
43,Nizhniy Baskunchak,25,RU,1571780871,60,48.22,48.22,52.54,5.41
44,Bahia Blanca,99,AR,1571780809,59,-38.72,-38.72,55.78,12.55
45,Wageningen,90,NL,1571780874,100,51.98,51.98,54.0,1.61
46,Lazaro Cardenas,5,MX,1571780876,23,28.39,28.39,75.2,6.6
47,Bubaque,18,GW,1571780878,80,11.28,11.28,82.63,10.54
48,Pombal,11,BR,1571780880,22,-6.77,-6.77,89.85,5.04
49,Iqaluit,75,CA,1571780881,86,63.75,63.75,30.2,1.61
50,Severo-Kurilsk,96,RU,1571780883,95,50.68,50.68,37.94,5.87
51,Punta Arenas,75,CL,1571780885,46,-53.16,-53.16,53.6,16.58
52,Ponta do Sol,47,BR,1571780887,69,-20.63,-20.63,73.98,4.12
53,Fairbanks,90,US,1571780631,68,64.84,64.84,30.99,1.21
54,Amahai,33,ID,1571780890,82,-3.31,-3.31,79.61,7.81
55,Vaini,100,IN,1571780892,96,15.34,15.34,68.22,1.42
56,Georgetown,40,GY,1571780692,79,6.8,6.8,84.2,6.6
57,Nagato,75,JP,1571780895,77,34.35,34.35,66.2,4.18
58,Sergeyevka,100,KZ,1571780897,93,53.88,53.88,35.06,10.3
59,Upernavik,100,GL,1571780899,50,72.79,72.79,20.34,5.2
60,Chuy,41,UY,1571780901,82,-33.69,-33.69,62.53,4.72
61,Avarua,35,CK,1571780703,78,-21.21,-21.21,78.8,4.18
62,Grand Gaube,75,MU,1571780904,88,-20.01,-20.01,72.0,2.41
63,Chokurdakh,100,RU,1571780906,92,70.62,70.62,5.68,5.07
64,Kruisfontein,100,ZA,1571780908,73,-34.0,-34.0,52.2,5.62
65,Graham,1,US,1571780910,18,33.11,33.11,73.99,4.52
66,Murree,99,PK,1571780911,74,33.91,33.91,64.0,0.72
67,Saskylakh,0,RU,1571780913,92,71.97,71.97,5.68,5.21
68,Newport,23,GB,1571780812,93,51.59,51.59,51.01,2.41
69,Carnarvon,100,ZA,1571780916,21,-30.97,-30.97,61.3,14.11
70,East London,100,ZA,1571780918,72,-33.02,-33.02,60.3,13.39
71,Mahebourg,75,MU,1571780920,88,-20.41,-20.41,72.0,2.41
72,Praya,40,ID,1571780922,94,-8.71,-8.71,73.4,1.61
73,Mezhdurechenskiy,1,RU,1571780923,85,59.59,59.59,29.28,7.29
74,New Norfolk,100,AU,1571780925,41,-42.78,-42.78,61.0,7.4
75,Honiara,40,SB,1571780927,74,-9.43,-9.43,84.2,3.38
76,Mecca,0,SA,1571780929,60,21.43,21.43,81.27,2.66
77,Mulege,0,MX,1571780930,35,26.88,26.88,84.45,12.36
78,Hobart,100,AU,1571780933,41,-42.88,-42.88,61.0,7.4
79,Los Llanos de Aridane,75,ES,1571780934,60,28.66,28.66,68.0,4.99
80,Murgab,0,TM,1571780936,58,37.5,37.5,53.6,2.69
81,Vao,100,EE,1571780938,81,59.1,59.1,50.5,9.53
82,Amapa,75,HN,1571780940,62,15.09,15.09,87.8,8.21
83,Qaanaaq,100,GL,1571780942,45,77.48,77.48,11.26,7.07
84,Khatanga,88,RU,1571780943,87,71.98,71.98,11.71,6.0
85,Gumdag,100,TM,1571780945,45,39.2,39.2,63.45,4.26
86,Port Lincoln,0,AU,1571780947,43,-34.72,-34.72,63.57,5.21
87,Pisco,90,PE,1571780837,30,-13.71,-13.71,71.6,4.18
88,Albany,90,US,1571780950,87,42.65,42.65,59.0,4.18
89,Nouakchott,30,MR,1571780952,78,18.08,18.08,75.2,14.0
90,Saint-Augustin,90,CA,1571780673,66,45.63,45.63,59.0,6.6
91,La Paz,5,MX,1571780307,48,24.15,24.15,84.2,5.79
92,Hambantota,75,LK,1571780958,100,6.12,6.12,77.0,2.41
93,De-Kastri,0,RU,1571780959,67,51.48,51.48,39.13,9.08
94,Hithadhoo,100,MV,1571780961,80,-0.6,-0.6,81.03,9.91
95,Urusha,100,RU,1571780963,89,54.05,54.05,22.26,1.45
96,Houma,96,CN,1571780965,86,35.63,35.63,53.64,1.37
97,Hilo,75,US,1571780967,52,19.71,19.71,87.8,4.99
98,Saint-Georges,100,CA,1571780968,59,46.12,46.12,55.0,3.6
99,Port Arthur,1,US,1571780970,31,29.9,29.9,78.8,5.79
100,Gushikawa,20,JP,1571780972,78,26.35,26.35,77.0,6.6
101,Rumphi,36,MW,1571780974,58,-11.02,-11.02,71.74,4.47
102,Saint Anthony,20,US,1571780943,53,43.97,43.97,55.0,12.39
103,Ushuaia,75,AR,1571780956,85,-54.81,-54.81,57.2,7.4
104,Lebu,0,ET,1571780979,79,8.96,8.96,49.73,2.12
105,Pevek,100,RU,1571780981,88,69.7,69.7,20.52,6.29
106,Kattivakkam,40,IN,1571780982,100,13.22,13.22,78.01,4.18
107,Inongo,86,CD,1571780984,80,-1.93,-1.93,74.57,2.37
108,Nikolskoye,75,RU,1571780986,71,59.7,59.7,51.8,8.05
109,Brawley,20,US,1571780988,6,32.98,32.98,93.99,5.89
110,Santiago de Chuco,96,PE,1571780989,71,-8.15,-8.15,51.71,5.79
111,Provideniya,75,RU,1571780991,74,64.42,64.42,33.8,11.27
112,Andros Town,20,BS,1571780993,66,24.73,24.73,86.0,7.4
113,Vengerovo,100,RU,1571780995,69,55.68,55.68,32.04,11.89
114,Longyearbyen,75,NO,1571780997,52,78.22,78.22,17.6,7.4
115,Quang Ngai,99,VN,1571780949,84,15.12,15.12,75.67,3.36
116,Tasiilaq,0,GL,1571781000,63,65.61,65.61,28.4,5.79
117,Bridlington,58,GB,1571781002,81,54.08,54.08,50.0,4.99
118,Waipawa,86,NZ,1571781004,93,-39.94,-39.94,44.01,6.47
119,Rockland,90,CA,1571781006,100,45.55,45.55,54.0,2.41
120,Kiruna,56,SE,1571781007,92,67.86,67.86,28.4,1.61
121,Rocha,100,UY,1571781009,75,-34.48,-34.48,58.15,3.94
122,Srednekolymsk,94,RU,1571781011,84,67.46,67.46,4.51,2.04
123,Tiksi,0,RU,1571781013,89,71.64,71.64,1.09,6.57
124,Ust-Ishim,90,RU,1571781014,94,57.69,57.69,35.64,5.75
125,Egvekinot,100,RU,1571781016,88,66.32,66.32,16.02,8.03
126,Broome,0,GB,1571781018,93,52.47,52.47,50.0,2.41
127,Ust-Maya,72,RU,1571781019,96,60.42,60.42,13.96,1.92
128,Altamira,75,BR,1571781021,74,-3.2,-3.2,80.6,2.41
129,Kahului,20,US,1571780973,43,20.89,20.89,89.6,14.97
130,Verkhnevilyuysk,100,RU,1571781025,84,63.45,63.45,20.32,3.77
131,Port Augusta,0,AU,1571781026,47,-32.49,-32.49,75.99,4.18
132,Manggar,100,ID,1571781028,74,-2.88,-2.88,82.8,12.05
133,Cockburn Town,64,TC,1571781030,76,21.46,21.46,82.99,9.22
134,Ixtapa,40,MX,1571781032,74,20.71,20.71,86.0,7.4
135,Tura,90,RU,1571781033,97,64.27,64.27,8.06,0.55
136,Vangaindrano,0,MG,1571781035,90,-23.35,-23.35,68.52,2.35
